country,continent,population,gdp_per_capita,life_expectancy,internet_users_pct,year
Country_027,Oceania,12.0,30132.0,82.5,74.4,2017
Finland,Europe,0.2,40201.0,79.9,92.1,2017
Italy,Europe,,42393.0,81.1,90.4,2011
Country_021,S. America,17.0,25125.0,75.3,65.2,2015
Country_020,Africa,70.7,5280.0,57.0,28.5,2024
Country_029,South America,25.2,13471.0,80.0,39.2,2018
Country_005,Africa,10.9,,53.8,49.1,2025
Uruguay,South America,4.4,,72.0,82.1%,2023
Namibia,Africa,0.2,200.0,53.3,9.6,2018
Namibia,Africa,0.2,7947.0,75.8,15.6,2024
  Suriname,South America,9.3,"8,887",78.0,85.1,2012
Zambia,Africa,7.1,2388.0,74.2,46.8,2024
Country_021,South America,18.8,200.0,77.9,,2019
United States,North America,0.2,33935.0,79.7,80.6%,2016
Country_030,Africa,25.5,200.0,64.7,8.3,2017
Mali,Africa,49.7,4875.0,60.2,28.8,2023
Thailand,Asia,238.8,14594.0,78.7,57.5,2010
Country_014,Africa,43.1,2115.0,68.7,64.2,2013
Country_003,North America,62.4,47441.0,78.9,75.1,2018
Myanmar,Asia,5.4,5764.0,77.3,27.7,2012
Costa Rica,North America,0.2,40604.0,,76.3,2017
Bangladesh,Asia,0.2,,65.1,49.1,2023
Switzerland,Europe,0.2,44436.0,76.6,85.4,2010
Vietnam,Asia,20.7,7318.0,64.5,11.3,2015
China,Asia,225.4,21904.0,78.6,49.3,2010
Afghanistan,Asia,40.6,14245.0,77.6,81.6,2025
Qatar,Asia,34.1,24341.0,67.9,76.1,2019
Fiji,OCEANIA,21.0,43827.0,76.4,74.8,2023
Trinidad and Tobago,North America,0.2,52742.0,75.7,70.1,2025
Bosnia and Herzegovina,Europe,11.9,27009.0,76.3,99.0,2018
Country_020,Africa,59.5,1312.0,64.1,22.2,2011
Country_005,Africa,20.6,4302.0,67.0,38.8,2020
Bolivia,South America,17.5,8329.0,72.9,50.0,2010
Belgium,Europe,0.2,40233.0,80.4,86.6,2021
Country_031,south america,10.1,200.0,73.2,68.5,2012
Jordan,Asia,43.2,200.0,73.7,33.5,2013
Country_013,ASIA,0.2,200.0,86.0,51.5,2025
United Kingdom,Europe,38.5,47590.0,81.1,86.9,2025
France,Europe,28.8,30874.0,82.0,75.8,2022
Angola,Africa,26.3,2796.0,58.8,19.7,2013
Croatia,Europe,19.6,49795.0,83.2,99.0,2016
Senegal,Africa,71.7,4850.0,63.2,45.1,2023
Russia,Europe,6.7,35465.0,73.4,73.6,2016
Burundi,Africa,1.1,3371.0,60.0,47.0,2023
El Salvador,North America,0.2,17569.0,72.0,81.5,2025
South Sudan,Africa,42.3,1352.0,54.3,37.6,2013
Costa Rica,North America,0.2,33984.0,75.0,48.4,2020
Ivory Coast,AFRICA,35.0,4177.0,59.9,34.4,2022
Haiti,North America,0.2,45091.0,76.8,98.6,2012
Country_027,Oceania,4.6,36174.0,79.2,84.4,2022
Haiti,North America,0.2,39607.0,69.6,82.6,2021
Country_021,South America,0.2,,78.3,66.7,2021
Nepal,Asia,0.2,16426.0,73.4,75.8,2019
Papua New Guinea,Oceania,11.5,4881.0,77.4,71.0,2014
Mongolia,Asia,0.2,8382.0,81.2,99.0,2023
Germany,Europe,0.2,21886.0,78.4,71.6,2018
Philippines,Asia,77.3,6021.0,70.6,99.0,2020
Myanmar,Asia,,12848.0,70.1,57.2,2025
Slovakia,Europe,0.2,33926.0,79.1,93.6,2024
COUNTRY_002,Asia,239.8,,70.9,54.2,2015
Namibia,Africa,0.2,376.0,59.7,40.6,2023
Ireland,Europe,0.9,17436.0,84.0,91.5,2021
Sudan,Africa,23.0,4612.0,63.5,49.0,2023
Kosovo,Europe,5.8,25782.0,72.2,65.6,2021
Ukraine,Europe,25.8,66392.0,81.4,99.0,2010
Senegal,Africa,0.2,3646.0,66.3,23.6,2024
Bangladesh,Asia,208.5,,80.4,80.3,2017
Estonia,Europe,20.5,40107.0,78.4,99.0,2024
Suriname,South America,0.2,30885.0,75.8,,2015
Burundi,Africa,5.5,,59.5,50.3,2014
Tunisia,Africa,,4937.0,64.2,40.8,2021
Country_003,North America,26.2,50459.0,77.8,77.7,2017
Bahrain,Asia,78.0,5447.0,67.0,64.5,2014
Lebanon,Asia,72.5,1501.0,70.2,78.9,2011
  Kosovo,Europe,20.6,26872.0,86.0,99.0,2014
Cameroon,Africa,54.3,4567.0,55.5,22.4,2015
Guatemala,North America,0.2,67880.0,79.5,76.2,2016
Mexico,North America,41.0,35918.0,76.0,84.8,2023
Country_017,North America,0.2,59583.0,80.8,99.0,2010
Country_031,south america,34.3,10184.0,81.4,79.3,2019
Egypt,Africa,27.8,200.0,54.1,1.0,2013
Thailand,Asia,155.4,14341.0,81.8,33.1,2024
Turkey,Asia,439.9,11606.0,81.3,85.3,2024
Country_003,North America,63.2,35612.0,79.8,87.9,2012
Syria,Asia,0.2,1793.0,74.5,71.6,2023
South Africa,Africa,18.6,1784.0,59.7,38.9,2010
Country_001,Europe,,35179.0,80.2,99.0,2021
Country_004,Oceania,6.5,44140.0,79.1,87.0,2017
El Salvador,North America,2766.7,56815.0,74.2,76.7,2014
North Korea,Asia,9.2,124985.50541419303,70.0,56.5,2019
Croatia,Europe,34.6,36966.0,,82.1,2022
Country_003,North America,30.1,48366.0,80.7,,2013
Belarus,Europe,4.5,26216.0,81.6,79.5,2013
Bahrain,Asia,0.2,4810.0,73.2,33.9,2015
Country_016,North America,42.6,65559.0,75.7,78.1,2021
Kosovo ,Europe,8.6,12744.0,79.7,76.2,2019
Venezuela,South America,57.3,19185.0,66.3,81.8,2020
Belarus,Europe,48.6,9716.0,86.0,75.7,2014
Ivory Coast,Africa,56.6,5881.0,58.1,14.4,2017
Mexico,North America,13.8,4029.0,71.2,87.0,2013
Cuba,North America,8.5,63297.0,79.4,90.1,2014
Chad,Africa,121.6,2574.0,68.1,13.9,2021
country_020,Africa,18.3,4310.0,66.6,12.5,2010
Japan ,Asia,,3141.0,64.8,60.9,2019
Trinidad and Tobago,North America,23.9,38408.0,78.8,73.9,2013
Myanmar,Asia,0.2,630.0,86.0,47.0,2018
Country_015,Africa,,,56.5,,2019
Qatar,Asia,0.2,16978.0,81.5,27.8,2025
Country_026,Asia,0.2,16974.0,75.5,44.1,2025
Angola,Africa,17.6,271.0,64.2,51.2,2023
France,Europe,0.8,,74.7,94.3,2025
Jamaica ,North America,47.8,,74.6,84.1,2024
Syria,Asia,131.3,,65.9,98.1,2019
Country_015,Africa,51.0,$200,68.0,32.2,2014
Norway,Europe,17.0,51048.0,77.5,81.9%,2012
Country_011,Africa,44.1,1161.0,67.7,18.4,2013
Brazil,South America,62.1,13968.0,66.6,62.2,2022
Latvia,Europe,16.0,200.0,76.2,75.0,2025
Cameroon,Africa,23.7,5839.0,59.6,14.1,2017
Country_011,Africa,22.7,,65.9,63.5,2018
Country_032,South America,16.6,11744.0,74.9,,2023
Niger,Africa,93.9,4845.0,64.0,,2011
Ghana,Africa,97.8,200.0,66.2,69.0,2010
Greece,Europe,7.8,31643.0,75.9,92.0,2012
Yemen ,Asia,99.7,200.0,72.5,41.9,2013
Vietnam,Asia,136.7,6015.0,81.4,99.0,2019
Country_017,NA,34.1,30472.0,74.5,88.7,2024
Bulgaria,Eu rope,0.2,12430.0,81.1,90.6,2011
Tanzania,Africa,66.1,2267.0,64.5,54.3,2019
Albania,Europe,26.8,42920.0,82.3,89.2,2025
Paraguay,South America,0.2,20152.0,73.9,71.4,2024
India,Asia,,26482.0,67.8,64.9,2011
Senegal,Africa,37.1,1683.0,,65.0,2015
Russia,Europe,21.7,27064.0,79.7,85.7,2012
Iran,Asia,154.4,15338.0,75.1,25.3,2016
Dominican Republic,North America,14.6,63760.0,75.5,,2015
Israel,Asia,0.2,7873.0,77.9,9.6,2020
Vietnam,Asia,0.2,5266.0,71.9,24.3,2014
Australia,Oceania,0.3,49680.0,,85.2,2022
Uruguay,South America,63.2,7812.0,80.4,78.6,2024
Uganda,Africa,0.2,200.0,60.7,45.7,2015
Country_013,Asia,353.4,6025.0,,63.1,2021
Ukraine,Europe,0.2,11644.0,75.8,80.0,2017
North Korea,Asia,0.2,8014.0,80.5,69.2,2023
el salvador,North Am.,12.8,48166.0,80.1,,2012
Nepal,Asia,0.2,22670.0,76.1,90.2,2022
Country_026,Asia,66.6,3886.0,70.8,57.9,2023
Bolivia,South America,,200.0,76.7,,2012
Afghanistan,Asia,,6100.0,67.9,70.3,2021
Country_020,Africa,30.3,200.0,56.9,57.0,2025
Netherlands,Europe,45.8,19946.0,,84.4,2019
Malaysia,Asia,77.7,15164.0,77.3,45.6,2024
Country_026,Asia,143.8,1274.0,79.6,66.5,2020
Guyana,South America,0.2,9611.0,74.8,82.7,2015
Algeria,Africa,0.2,3222.0,69.0,55.0,2017
Fiji,Oceania,3.5,57805.0,80.5,99.0,2018
Lebanon,Asia,0.2,206075.27441324925,84.3,87.5,2015
Saudi Arabia,Asia,263.5,4025.0,,58.9,2015
Nicaragua,North America,0.2M,,82.0,89.8,2010
Panama,North America,37.9,47503.0,79.9,78.3,2023
Bangladesh,Asia,,16629.0,82.1,44.0,2014
Venezuela,South America,12.3,23385.0,77.9,68.8,2022
Country_021,South America,12.0,27789.0,70.2,93.3,2018
Country_021,South America,23.5,14007.0,79.8,49.2,2010
Angola,Africa,52.7,576.0,58.7,24.9,2018
Lesotho,Africa,105.5,3289.0,68.1,43.2,2022
Uganda,Africa,0.2,397.0,55.0,58.1,2022
Kosovo  ,Europe,39.2,32816.0,81.0,84.8,2013
Afghanistan,Asia,259.3,,83.1,41.8,2019
Eswatini,Africa,30.0,2327.0,61.1,14.3,2020
Romania,Europe,0.2,55584.0,80.5,81.7,2013
slovakia,Europe,,19093.0,85.3,,2015
El Salvador,North America,47.1,48465.0,78.6,89.1,2020
Portugal,Europe,54.9,200.0,86.0,96.7,2025
venezuela,South America,,21038.0,69.6,76.0,2019
Colombia,South Am.,15.5,3218.0,74.5,,2010
Ireland,Europe,28.9,43734.0,81.9,70.5,2022
Sri Lanka,Asia,86.7,,73.4,63.7,2016
Belize,North America,16.5,58068.0,70.0,68.8,2019
Venezuela,South America,57.9,200.0,77.4,58.5,2010
South Africa,Africa,6.8,1457.0,67.7,34.1,2012
Malta,Europe,33.6,24983.0,79.1,91.0%,2018
Country_011,Africa,0.2,5915.0,66.6,32.2,2024
Palestine  ,Asia,222.4,6469.0,74.9,1.0,2019
Angola,Africa,38.5,1999.0,57.5,46.0,2016
  Country_028,Oceania,12.2,49806.0,,73.2,2014
Sweden,Europe,12.9,41747.0,,74.1,2010
Country_028,Oceania,10.6,39037.0,83.8,77.9,2016
South Sudan,Africa,0.2,2138.0,55.9,31.4,2016
Tanzania,Afri ca,27.4,200.0,69.8,31.5,2021
Nepal,Asia,0.2,15558.0,71.6,37.3,2013
Madagascar,Africa,83.5,2932.0,59.3,45.4,2012
Belarus,Europe,0.2,20658.0,76.5,,2015
Tanzania,Africa,0.2,4540.0,53.4,3.2,2011
Hungary,Europe,9.4,27791.0,78.7,71.2,2023
Qatar,Asia,0.2,16820.0,76.0,1.0,2022
Eswatini,Africa,65.3,2169.0,63.2,55.5,2014
Tanzania,Africa,,3591.0,67.6,,2010
North Korea,Asia,276.3,7977.0,71.3,49.5,2011
Finland,Europe,7.4,65719.0,79.6,88.4,2013
Belize,North America,,31791.0,79.0,82.7,2017
Japan,Asia,0.2,18888.0,72.8,79.0,2022
Sri Lanka,Asia,67.0M,14239.0,79.1,71.7,2018
Switzerland,Europe,0.2,37188.0,83.5,93.9,2020
Greece,Europe,15.0,38250.0,82.8,89.1,2022
Guatemala,North America,18.6,44702.0,75.7,89.3,2018
 Kenya,Africa,42.8,200.0,65.0,19.5,2019
Iceland,Europe,32.6,42449.0,79.1,93.9,2013
Argentina,South America,25.0,,72.4,70.5,2023
Bolivia,South America,121.2,,71.8,81.4,2023
South Korea,Asia,102.3,200.0,73.5,52.0,2020
Peru,South America,77.1,8367.0,78.6,54.4,2013
Niger,Africa,2.7,2574.0,64.7,51.6,2019
Guatemala,North America,19.4,24929.0,72.0,80.4,2012
Country_016,North America,58.5,16535.0,76.6,77.6,2023
United Kingdom ,Europe,20.0,,73.6,90.4,2020
Papua New Guinea,Oceania,5.4,38666.0,78.9,92.5,2015
Brazil,South America,27.1,24780.0,72.9,63.5,2010
Country_017,North America,19.4,31428.0,81.5,80.1,2025
Country_015,Africa,0.2,3347.0,51.2,29.3,2023
Netherlands,Europe,5.7,28770.0,86.0,90.3,2017
Iceland,Europe,2.5,36934.0,80.7,,2025
Ivory Coast,Africa,0.2,2119.0,,51.3,2010
Mongolia,Asia,274.0,5221.0,75.0,,2014
Pakistan,Asia,,1134.0,81.7,26.6,2016
Fiji,Oceania,17.5,24099.0,78.8,69.5,2024
Bolivia,South Am.,70.2,17333.0,78.4,75.5,2022
Country_032,South America,45.7,20965.0,72.3,68.9,2011
United Kingdom,Europe,22.3,"39,293",76.5,88.9,2021
Chad,Africa,32.6,7063.0,58.7,55.2,2024
Country_022,North America,0.2,29298.0,83.3,73.2,2020
Ireland,Europe,0.2,32627.0,84.4,80.7,2011
Argentina,South America,84.3,26845.0,80.8,63.1,2013
Syria,Asia,203.5,20865.0,74.8,,2016
France,Europe,16.8,31830.0,75.2,96.2,2010
Jordan,Asiya,0.2,17070.0,,73.4,2017
Colombia,South America,,25615.0,76.2,84.6,2019
Samoa,Oceania,14.8,21040.0,82.7,,2020
Iran,Asia,0.2,200,69.1,99.0,2011
Kosovo,Europe,21.4,25138.0,78.6,84.3,2024
South Sudan,Africa,34.0,278.0,53.1,8.3,2014
Germany,Europe,31.4,33803.0,,94.8,2022
Country_006,Africa,19.8,200.0,67.3,13.4,2015
Argentina,South America,0.2,19728.0,80.1,91.7,2016
Kuwait,Asia,0.2,14724.0,77.4,50.7,2023
Thailand,Asia,205.7,,69.8,74.1,2018
Turkey,Asia,62.2,9684.0,74.2,95.0,2021
Madagascar,Africa,3.6,200.0,56.3,21.4,2020
Czechia,Europe,16.3,8130.0,80.5,82.4,2021
Country_004,Oceania,0.2,,78.0,66.7,2013
Samoa,Oceania,3.2,23635.0,78.5,64.3,2022
Indonesia,Asia,0.2,2507.0,67.7,63.4,2025
Country_019,Asia,414.4,3748.0,62.6,53.3,2018
Honduras,North America,0.2,45839.0,86.0,66.3,2020
Chile,South America,58.2,14477.0,,65.5,2012
Guatemala,North America,5.7,45697.0,78.7,66.9,2013
BOLIVIA,South America,3.5,36408.0,81.2,97.3,2014
Greece,Europe,0.2,15677.0,82.5,,2020
Djibouti,Africa,84.0,200.0,65.0,24.8,2021
Russia,Europe,16.8,28406.0,82.0,93.4,2020
Country_032,South America,0.2,7965.0,75.1,66.6,2024
  Nepal,Asia,0.2,15796.0,69.7,93.2,2020
Zambia,Africa,2.7,5750.0,63.4,16.2,2016
JAPAN,Asia,0.2,15271.0,72.1,67.5,2016
Syria,Asia,16.0,16668.0,73.0,20.2,2025
Albania,Europe,44.8,37703.0,77.7,81.1,2017
Lesotho,Africa,0.2,2327.0,57.5,7.1,2011
Peru,South America,,26452.0,68.7,69.9,2023
Chad,Africa,0.2,2323.0,56.5,74.4,2016
Country_002,Asia,290.6,,76.9,89.8,2014
Spain,Europe,26.6,,75.3,90.1,2018
Morocco,Afrika,5.7,2210.0,53.2,11.8,2021
Mongolia,Asia,,17676.0,77.6,65.2,2025
Slovenia,Europe,24.1,65012.0,76.4,80.1,2018
Country_028,Oceania,9.4,,74.6,91.7,2023
Denmark,Europe,0.2,22337.0,77.8,86.3,2010
Country_003,North America,41.1,58510.0,74.8,68.8,2021
Fiji,Oceania,0.2,44767.0,,73.2,2012
Ghana,Africa,26.6,706.0,69.7,10.3,2022
Country_023,Africa,42.2,580.0,68.0,73.2,2023
Denmark,Europe,0.2,3884.0,,85.9,2014
Namibia,Africa,39.5,200.0,,12.6,2011
Netherlands,Europe,45.8,19946.0,,84.4,2019
Rwanda,Africa,0.2,395.0,55.3,,2014
Country_020,Africa,0.2,1314.0,66.1,31.7,2013
Venezuela,South America,11.9,23836.0,68.5,,2015
Nepal,Asia,115.4,19594.0,68.9,28.4,2023
Cameroon,Africa,0.2,200.0,56.2,18.8,2020
Jordan,Asia,29.5M,1223.0,72.5,45.4,2019
Morocco,Africa,46.9,2082.0,,74.1,2012
Ecuador,South America,38.2,12438.0,73.4,78.0,2023
Lithuania,EUROPE,23.6,21169.0,70.2,75.7,2025
Country_022,North America,0.2,44258.0,62.4,76.3,2013
Zimbabwe,Africa,23.3,4533.0,58.7,57.2,2010
Botswana,AFRICA,23.2,357.0,66.9,49.9,2018
Colombia,South America,63.4,,63.9,48.5,2011
Malta,Europe,28.3,13638.0,76.9,80.5%,2020
Iceland,Europe,7.5,52765.0,78.7,80.8,2024
Country_006,Africa,0.2,4497.0,66.0,21.1,2021
Country_031,South America,73.1,2266.0,77.3,79.2,2022
Afghanistan,Asia,0.2,200.0,69.8,53.2,2024
Dominican Republic,North America,,66798.0,79.5,86.5,2016
Haiti ,North America,,64930.01872493312,81.0,79.4,2023
MEXICO,North America,0.2,85884.0,79.1,58.2,2025
Chad,Africa,13.1,3688.0,52.8,7.1,2017
Country_023,Africa,27.3,5914.0,67.6,37.6,2011
Singapore,Asia,0.2,17273.0,75.9,57.8%,2021
Country_014,Africa,30.3,3380.0,65.4,7.8,2012
Algeria,Africa,41.3,7601.0,59.1,35.6,2016
Country_001,Europe,16.3,"43,139",81.9,78.0,2025
Serbia,Europe,39.2,14956.0,78.2,88.1,2018
Uruguay,South America,59.1,24973.0,64.0,54.1,2017
slovakia,Europe,10.1,27121.0,75.8,86.6,2018
Kenya,Africa,81.7,1474.0,64.0,44.9,2012
Nepal,Asia,138.5,31491.0,67.2,65.2,2015
Afghanistan,Asia,70.7,4545.0,75.9,44.6,2013
Lithuania,Europe,0.2,,79.9,90.8,2012
Iceland,Europe,0.2,26346.0,86.0,99.0,2021
Dominican Republic,North Am.,13.0,50210.0,81.0,97.6,2010
Estonia,Europe,,18713.0,75.7,86.8,2016
Chile,South America,65.0,200.0,79.9,91.1,2014
Ireland,Europe,20.8,50561.0,81.4,78.7,2013
North Korea,Asiya,162.4,2729.0,,29.5,2020
France,Europe,44.0,17825.0,84.0,87.3,2015
Myanmar,Asia,0.2,14894.0,73.6,77.1,2022
Country_017,North America,0.2,23942.0,73.2,,2014
  Hungary,Europe,7.4,46747.0,76.5,75.9,2011
Iceland,Europe,0.2,28580.0,74.5,95.3,2014
Haiti,North Am.,0.2,36159.0,74.9,,2020
Iraq,Asia,80.5,18466.0,73.7,89.3,2018
Country_012,South America,87.4,20823.0,83.0,67.7,2012
Greece,Europe,4.6,17294.0,72.5,89.1,2021
Canada,North America,0.2,33255.0,83.3,76.3,2014
Luxembourg,Europe,11.5,22215.0,79.6,83.6,2018
Ghana,Africa,18.3,350.0,57.6,44.9,2021
Bangladesh,Asia,191.9,12918.0,76.8,45.4,2019
Hungary,Europe,17.7,23807.0,78.7,90.5,2019
Belarus,Europe,1.3,31743.0,70.4,73.3,2012
Morocco,Africa,15.2,4529.0,59.2,33.2,2025
Tanzania,Africa,52.8,1261.0,64.9,18.9%,2014
Peru,South America,51.1,29547.0,74.6,59.0,2010
Country_006,Africa,42.8M,6826.0,68.4,40.0,2019
Country_025,Africa,36.1,4487.0,67.2,41.1,2019
Albania,Europe,7.7,60094.0,82.5,92.6,2024
France,Europe,51.7,271554.01994936477,86.0,90.4,2016
Country_007,South America,0.2,,81.2,91.0,2019
Chad,Africa,12.5,3778.0,65.4,36.6,2018
Italy,Europe,,42393.0,81.1,90.4,2011
Honduras,North America,37.2,37843.0,75.1,69.7,2010
Country_021,South America,0.2,18198.0,81.4,91.9,2024
Afghanistan,Asia,177.8,9783.0,,34.8,2017
Country_016,North America,27.5,72422.0,75.1,66.4,2013
El Salvador,North America,37.7,54347.0,77.3,,2018
Country_027,Ocenea,0.6,41029.0,73.2,78.7,2025
Guyana,South America,53.3,9719.0,79.4,85.6,2012
URUGUAY,South America,,24405.0,78.2,41.9,2014
Bulgaria,Europe,29.5,24462.0,83.1,70.1,2015
Indonesia,Asia,169.5,,67.5,,2017
Norway,Europe,48.7,31439.0,73.0,,2025
Nigeria,Africa,0.3,4916.0,59.4,15.5,2010
Jordan,Asia,1.5,5731.0,75.2,84.2,2011
South Sudan,Africa,,2509.0,69.9,19.5,2024
Country_031,south america,10.1,200.0,73.2,68.5,2012
Country_020,Africa,46.3,651.0,66.3,71.1,2020
Costa Rica,North America,9.2,57836.0,73.4,68.6,2015
samoa,Oceania,17.4,45323.0,78.9,88.5,2024
Chad,Africa,0.2,200.0,64.7,28.3,2025
Iran,Asia,169.2,,,30.1,2022
Kosovo,Europe,22.0M,34564.0,78.8,99.0,2018
Eritrea,Africa,87.4,200.0,,36.2,2010
Chad,Africa,19.5,1303.0,58.4,1.0,2014
Somalia,Africa,17.1,200.0,68.5,1.0,2017
Country_019,Asia,132.9,2698.0,70.4,50.8,2010
Serbia,Europe,8.8,36895.0,77.2,80.0,2020
Czechia,Europe,15.7,22712.0,82.5,89.7,2017
tunisia,Africa,16.3,6664.0,,22.9,2013
Jordan,Asia,376.3,200.0,61.9,4.8,2022
Sri Lanka,Asia,242.2,14511.0,85.9,62.0,2023
Mali,Africa,38.0,663.0,48.2,37.8,2025
Croatia,Europe,4.6,31802.0,78.2,,2017
Country_009,Europe,53.3,36962.0,85.9,90.3,2024
Country_024,South America,31.4,25470.0,77.9,99.0,2018
Samoa,oce ania,0.2,35337.0,77.2,78.4,2015
Egypt,Africa,0.2,764.0,50.5,32.3,2011
Zimbabwe,Africa,41.3,200.0,65.2,36.2,2020
South Africa,Afrika,88.5,1499.0,,1.0,2024
Egypt,Africa,,476.0,64.6,72.6,2017
Venezuela,South America,0.2,200.0,76.7,41.9,2021
Country_011,Africa,63.6,1496.0,52.8,1.0,2025
Egypt,Africa,17.8,200.0,74.8,34.0,2018
Estonia,Europe,4.4,45672.0,85.2,72.8,2012
Country_027,OC,16.4,35829.0,79.4,65.5,2016
Country_004,Oceania,6.0,47592.0,79.2,76.4,2014
Brazil,South America,12.0,7847.0,74.2,71.1,2017
Jordan,Asia,128.5,22697.0,75.0,79.6,2020
Mongolia,Asia,0.2,5845.0,68.9,50.1,2017
Country_026,Aisa,0.2,9181.0,74.5,26.3,2021
France,Europe,0.2,22855.0,74.1,94.9,2019
bulgaria,Europe,0.2,30880.0,84.4,94.8%,2019
Bulgaria,Europe,,17045.0,83.0,79.0,2014
South Africa,Africa,64.3,4513.0,52.6,,2019
Country_032,South America,0.2,26446.0,86.0,73.2,2018
Denmark,Europe,,28658.0,77.0,75.7,2011
Saudi Arabia,Asia,117.1,11746.0,68.5,74.9,2012
Country_020,Africa,43.0,3786.0,,38.5,2016
Ecuador,South America,37.4,11614.0,78.1,68.8,2011
Albania,Europe,41.6,17620.0,78.1,84.0,2011
Qatar,Asia,0.2,3578.0,,52.3,2014
New Zealand,Ocenea,,48782.0,80.0,71.3%,2019
Cuba,North America,50.2,31272.0,72.0,83.3,2012
Ecuador,South America,,15770.0,78.3,61.3,2016
Djibouti,Africa,68.2,4276.0,60.7,50.5%,2016
Peru,South America,4.1,14758.0,,56.8,2012
Country_013,Asia,57.2,5397.0,69.8,34.6,2015
Algeria,Africa,63.6,200.0,70.4,51.4,2019
COUNTRY_015,Africa,0.2,3335.0,64.6,42.2,2021
Country_004,Oceania,2.4,$32831,78.8,75.9,2020
Papua New Guinea,Oceania,1.6,"40,193",81.7,87.4,2016
Country_025,Africa,100.6,3615.0,54.3,37.5,2021
Country_011,Africa,0.2,270.0,61.4,15.0,2023
Palestine,Asia,13.3,8716.0,59.8,64.4,2011
Germany,Europe,,35747.0,74.1,96.3%,2011
Finland,Europe,37.4,21584.0,81.4,77.5,2015
Ecuador,South America,0.2,15654.0,77.4,49.0,2015
Yemen,Asia,101.6,1668.0,73.6,79.6,2024
Niger,Africa,39.9,,72.0,,2024
Country_016,North America,29.8,68732.0,78.9,70.3,2020
  Country_002,Aisa,0.2M,,84.0,,2019
China,Asia,87.5,14750.0,74.4,71.3,2021
Albania,Europe,0.2,57422.0,71.9,,2012
Denmark,Europe,9.2,21773.0,80.3,84.1,2019
Tunisia,Africa,44.3,200.0,70.9,50.0,2010
Bosnia and Herzegovina,Europe,0.2,34972.0,74.4,81.1,2011
Nigeria,Africa,18.2,4170.0,62.1,11.8,2021
Panama,North America,31.7,55008.0,74.5,91.9,2015
Suriname,South America,0.2,14454.0,,,2024
Djibouti,Africa,19.4,2407.0,58.4,46.1,2018
Algeria,Africa,39.3,1767.0,60.8,34.9,2021
Country_032,South America,,7459.0,75.4,78.9,2020
India,Asia,0.2,16410.0,74.6,76.6,2025
North Macedonia,Europe,21.9,35742.0,76.4,78.3,2017
New Zealand,Oceania,0.2,31708.0,78.7,75.0,2025
Uruguay,South America,17.8,11512.0,80.4,92.1,2018
Country_008,Africa,3.8,1081.0,62.2,43.1,2024
Algeria,Africa,25.0,3835.0,67.4,,2013
Canada,North America,0.2,21855.0,77.8,86.2,2019
Cameroon,Africa,0.2,710.0,62.4,1.0,2010
Niger,Africa,26.4,7786.0,,18.5,2018
Myanmar,Asia,124.3,5235.0,81.4,46.1,2011
Nicaragua,North America,0.2,2482.0,,69.0,2013
Estonia,Europe,27.5,24198.0,77.1,96.0,2011
Bangladesh,Asia,63.7,18977.0,74.0,64.5,2022
France,Europe,28.2,23400.0,75.5,,2024
Dominican Republic,North America,0.2,37247.0,84.0,69.9,2020
Sri Lanka,Asia,119.1,200,67.3,97.7,2015
Serbia,Europe,0.2,54124.0,77.8,97.2,2017
Country_028,Oceania,6.2,53007.0,80.1,94.9,2025
New Zealand,Oceania,17.5,19377.0,77.8,63.7,2011
Algeria,Africa,,333.0,63.1,35.0,2024
El Salvador,North America,42.2,23469.0,72.2,93.5,2013
Guyana,South America,52.1,960.0,69.7,75.3,2016
Morocco,Africa,31.8,3607.0,67.9,25.0,2022
Belarus,Europe,9.7,29453.0,71.4,,2025
Mexico,North America,0.2,21546.0,74.7,75.4,2020
Luxembourg,Europe,14.1,48117.0,71.3,89.9,2011
Zimbabwe,Africa,0.2,200.0,55.2,17.8,2017
New Zealand,Oceania,10.9,54987.0,84.0,89.9,2014
Colombia,South America,3221.4,8501.0,75.1,97.6,2016
Chile,South America,0.2,7675.0,70.7,80.8,2019
South Sudan,Africa,0.2,200.0,55.7,62.6,2012
Uganda ,Africa,33.4,713.0,63.9,20.0,2011
China,Asia,189.7,"5,409",73.5,27.0,2024
Turkey,Asia,67.4,1250.0,71.1,67.3,2018
Palestine,Asia,48.0,12962.0,69.5,,2020
Cuba,North America,0.2,71899.0,78.4,,2020
Albania,Europe,0.2,49935.0,82.2,87.4,2019
UAE,Asia,0.2,,73.7,55.0,2016
Russia,Europe,21.2,28105.0,,,2024
Country_004,Oceania,9.5,32601.0,80.9,85.1,2012
Senegal,Africa,68.2,200.0,56.6,18.9,2016
Bolivia,South America,60.7,200.0,66.4,75.8,2020
Myanmar,Asia,210.2,8816.0,61.6,51.9,2015
romania,Europe,16.8,56806.0,81.4,93.7,2017
Luxembourg,Europe,22.8,52824.0,77.5,81.4,2012
Honduras,North America,2.5,13764.0,75.0,93.4,2012
Uruguay,South America,49.0,13641.0,73.3,85.6,2012
CZECHIA,Europe,9.2,11527.0,76.8,91.7,2025
Albania,Europe,24.2,34498.0,76.2,99.0,2022
Guatemala,North America,33.5,28000.0,80.5,94.0,2022
Syria,Asia,154.9,12998.0,,52.8,2014
Ecuador,South America,49.0,8697.0,76.8,99.0,2019
Mali,Africa,0.2,1388.0,50.4,35.6,2016
France,Europe,9.4,40325.0,77.9,58.8,2018
Israel,Asia,250.6,10093.0,61.4,33.6,2023
